player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-142,1998,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Abraham,ar ARG,DF,Eint Frankfurt,34-215,1986,14.0,14.0,1222.0,1.0,0.0,0.0,0.0,5.0,1.0,0.07,0.0,0.07,0.07,0.07,13.6,9.0,2.0,22.2,0.66,0.15,0.11,0.5,1.0,11.0,8.0,1.0,8.0,15.0,13.0,0.0,0.0,0.0
Amir Abrashi,al ALB,MF,Freiburg,30-325,1990,5.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Ragnar Ache,de GER,FW,Eint Frankfurt,22-202,1998,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Adams,us USA,"MF,DF",RB Leipzig,22-001,1999,17.0,12.0,1144.0,1.0,0.0,0.0,0.0,3.0,0.0,0.08,0.0,0.08,0.08,0.08,12.7,4.0,2.0,50.0,0.31,0.16,0.25,0.5,0.0,20.0,18.0,0.0,7.0,19.0,17.0,0.0,0.0,0.0
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-268,1993,9.0,0.0,154.0,1.0,2.0,0.0,0.0,0.0,0.0,0.58,1.17,1.75,0.58,1.75,1.7,10.0,4.0,40.0,5.84,2.34,0.1,0.25,0.0,3.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
Felix Agu,de GER,"DF,FW",Werder Bremen,21-141,1999,7.0,4.0,365.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,4.1,4.0,1.0,25.0,0.99,0.25,0.25,1.0,0.0,4.0,13.0,0.0,8.0,10.0,8.0,0.0,0.0,0.0
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-323,2002,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Manuel Akanji,ch SUI,DF,Dortmund,25-211,1995,19.0,18.0,1655.0,2.0,0.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,18.4,11.0,4.0,36.4,0.6,0.22,0.18,0.5,0.0,19.0,12.0,0.0,0.0,27.0,23.0,1.0,1.0,0.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-302,1995,13.0,11.0,942.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,1.0,1.0,100.0,0.1,0.1,0.0,0.0,0.0,12.0,11.0,0.0,6.0,8.0,9.0,0.0,0.0,0.0
